State,PHN code,PHN area name,Reporting Year,Age group,Number of registered children,Number fully immunised,Number not fully immunised,Number of registered IndigAus  children,Number IndigAus fully immunised,Number IndigAus not fully immunised,Interpret with caution (#),,,,
NT,PHN701,Northern Territory,2014-15,2 years,"3,600","3,216",384,"1,301","1,155",146,,,,,
NT,PHN701,Northern Territory,2013-14,1 year,"3,893","3,536",357,"1,458","1,304",154,,,,,
NT,PHN701,Northern Territory,2012-13,1 year,"3,867","3,534",333,"1,482","1,335",147,,,,,
NT,PHN701,Northern Territory,2016-17,1 year,"3,761","3,489",272,"1,289","1,178",111,,,,,
NT,PHN701,Northern Territory,2015-16,1 year,"3,779","3,516",263,"1,379","1,283",96,,,,,
NT,PHN701,Northern Territory,2015-16,5 years,"3,497","3,214",283,"1,307","1,230",77,,,,,
NT,PHN701,Northern Territory,2012-13,5 years,"3,613","3,283",330,"1,364","1,286",78,,,,,
NT,PHN701,Northern Territory,2016-17,5 years,"3,558","3,311",247,"1,288","1,220",68,,,,,
NT,PHN701,Northern Territory,2014-15,5 years,"3,516","3,248",268,"1,333","1,266",67,,,,,
NT,PHN701,Northern Territory,2013-14,5 years,"3,524","3,221",303,"1,346","1,287",59,,,,,
NT,PHN701,Northern Territory,2013-14,2 years,"3,743","3,504",239,"1,395","1,339",56,,,,,
NT,PHN701,Northern Territory,2012-13,2 years,"3,687","3,451",236,"1,404","1,351",53,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,1 year,"9,872","8,871","1,001",834,702,132,,,,,
QLD,PHN305,Western Queensland,2014-15,1 year,"1,116","1,019",97,326,276,50,,,,,
QLD,PHN302,Brisbane South,2014-15,2 years,"15,358","13,868","1,490",587,498,89,,,,,
QLD,PHN307,Northern Queensland,2012-13,1 year,"9,957","9,129",828,"1,869","1,588",281,,,,,
QLD,PHN304,Darling Downs and West Moreton,2012-13,1 year,"7,814","7,177",637,608,517,91,,,,,
QLD,PHN303,Gold Coast,2014-15,1 year,"7,086","6,419",667,154,131,23,,,,,
QLD,PHN305,Western Queensland,2013-14,1 year,"1,192","1,085",107,337,287,50,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,2 years,"9,885","8,955",930,791,674,117,,,,,
QLD,PHN304,Darling Downs and West Moreton,2014-15,2 years,"8,110","7,386",724,730,624,106,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2014-15,1 year,"9,968","9,054",914,813,695,118,,,,,
QLD,PHN305,Western Queensland,2015-16,2 years,"1,051",956,95,317,272,45,,,,,
QLD,PHN305,Western Queensland,2014-15,2 years,"1,129","1,021",108,325,279,46,,,,,
QLD,PHN301,Brisbane North,2012-13,1 year,"11,826","10,983",843,413,355,58,,,,,
QLD,PHN302,Brisbane South,2013-14,1 year,"15,355","14,030","1,325",529,455,74,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,1 year,"9,763","8,902",861,758,654,104,,,,,
QLD,PHN304,Darling Downs and West Moreton,2015-16,2 years,"7,910","7,261",649,711,614,97,,,,,
QLD,PHN307,Northern Queensland,2013-14,1 year,"10,044","9,169",875,"2,004","1,733",271,,,,,
QLD,PHN304,Darling Downs and West Moreton,2014-15,1 year,"7,899","7,305",594,724,627,97,,,,,
QLD,PHN302,Brisbane South,2015-16,1 year,"15,181","14,130","1,051",608,527,81,,,,,
QLD,PHN301,Brisbane North,2013-14,1 year,"11,799","10,917",882,451,391,60,,,,,
QLD,PHN307,Northern Queensland,2014-15,1 year,"9,773","8,989",784,"1,916","1,663",253,,,,,
QLD,PHN307,Northern Queensland,2015-16,1 year,"9,651","8,975",676,"1,993","1,734",259,,,,,
QLD,PHN304,Darling Downs and West Moreton,2013-14,1 year,"8,118","7,458",660,727,634,93,,,,,
QLD,PHN305,Western Queensland,2012-13,1 year,"1,227","1,137",90,378,330,48,,,,,
QLD,PHN305,Western Queensland,2015-16,1 year,"1,162","1,085",77,364,318,46,,,,,
QLD,PHN307,Northern Queensland,2014-15,2 years,"9,825","8,908",917,"1,966","1,719",247,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2014-15,2 years,"9,923","8,884","1,039",848,742,106,,,,,
QLD,PHN303,Gold Coast,2015-16,2 years,"7,035","6,293",742,170,149,21,,,,,
QLD,PHN303,Gold Coast,2012-13,1 year,"6,870","6,231",639,164,144,20,,,,,
QLD,PHN302,Brisbane South,2014-15,1 year,"15,061","13,884","1,177",529,465,64,,,,,
QLD,PHN303,Gold Coast,2013-14,1 year,"7,020","6,300",720,175,154,21,,,,,
QLD,PHN302,Brisbane South,2016-17,2 years,"15,381","14,152","1,229",626,551,75,,,,,
QLD,PHN307,Northern Queensland,2015-16,2 years,"9,424","8,648",776,"1,852","1,635",217,,,,,
QLD,PHN307,Northern Queensland,2016-17,2 years,"9,545","8,850",695,"1,985","1,753",232,,,,,
QLD,PHN301,Brisbane North,2016-17,2 years,"11,861","10,959",902,566,500,66,,,,,
QLD,PHN302,Brisbane South,2015-16,2 years,"15,053","13,814","1,239",551,488,63,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2014-15,5 years,"10,781","9,810",971,749,664,85,,,,,
QLD,PHN303,Gold Coast,2014-15,2 years,"7,009","6,211",798,159,141,18,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,2 years,"9,772","8,922",850,889,789,100,,,,,
QLD,PHN301,Brisbane North,2015-16,2 years,"11,980","11,068",912,572,508,64,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,1 year,"9,633","8,915",718,846,754,92,,,,,
QLD,PHN302,Brisbane South,2012-13,1 year,"14,850","13,720","1,130",538,480,58,,,,,
QLD,PHN301,Brisbane North,2015-16,1 year,"11,665","10,947",718,569,508,61,,,,,
QLD,PHN301,Brisbane North,2014-15,2 years,"11,835","10,814","1,021",446,399,47,,,,,
QLD,PHN304,Darling Downs and West Moreton,2015-16,1 year,"7,718","7,238",480,772,694,78,,,,,
QLD,PHN304,Darling Downs and West Moreton,2016-17,2 years,"7,825","7,248",577,775,697,78,,,,,
